Assessment_ID,Assessment_Name,Assessment_Type,Domain,Use_Case,Population,Link_URL,License_or_Access_Notes,Scoring_Type,Clinician_vs_Patient,Related_Conditions,Related_Phenotypes,Notes,Review_Status
ASS-011,Conners 4 / CAARS 2,Symptom scale / Diagnostic aid,ADHD,Comprehensive ADHD assessment with multi-informant forms,Pediatric (Conners 4) / Adult (CAARS 2),https://storefront.mhs.com/collections/conners-4,Copyrighted — purchase required (MHS),Standardized T-scores,Parent/teacher/self-report,ADHD; ODD; Executive dysfunction,PHE-009; PHE-010; PHE-005,Multi-informant tracking during neurofeedback.,Reviewed
ASS-012,SNAP-IV,Symptom scale,ADHD,Parent/teacher-rated ADHD tracking in pediatric NF studies,Pediatric,https://depts.washington.edu/dbpeds/Screening%20Tools/SNAP.pdf,Free for clinical and research use,4-point scale; Average per item,Parent/teacher-rated,ADHD; ODD,PHE-009; PHE-010,Frequently used in pediatric neurofeedback research.,Reviewed
ASS-013,BRIEF-2 / BRIEF-A,Symptom scale,Executive function,Real-world executive function tracking,Pediatric (BRIEF-2) / Adult (BRIEF-A),https://www.parinc.com/products/BRIEF-2,"Copyrighted — purchase required (PAR, Inc.)",T-scores; GEC composite,Parent/teacher/self-report,ADHD; ASD; TBI; Depression,PHE-005; PHE-009; PHE-015; PHE-030,Captures real-world EF behavior missed by cognitive tests.,Reviewed
ASS-014,ISI (Insomnia Severity Index),Symptom scale,Sleep,Insomnia tracking for CES/neurofeedback sleep protocols,Adult,https://eprovide.mapi-trust.org/isi-insomnia-severity-index/,Free with attribution; request via ePROVIDE,7 items; Total 0-28,Patient self-report,Insomnia; Comorbid sleep disruption,PHE-006; PHE-007,Cutoff ≥10 for subthreshold; ≥15 for clinical insomnia.,Reviewed
ASS-015,PSQI (Pittsburgh Sleep Quality Index),Symptom scale,Sleep,Comprehensive 1-month sleep quality assessment,Adult,https://www.sleep.pitt.edu/psqi,Available with permission from University of Pittsburgh,7 component scores; Global 0-21,Patient self-report,Sleep disorders; Depression; Chronic pain; PTSD,PHE-006; PHE-007,Broader than ISI; includes sleep architecture components.,Reviewed
ASS-016,ESS (Epworth Sleepiness Scale),Screening tool,Sleep (daytime sleepiness),Screen for excessive daytime sleepiness at intake,Adult,https://epworthsleepinessscale.com/about-the-ess/,Copyright — license required (Mapi Research Trust); academic waiver available,8 items; Total 0-24,Patient self-report,Sleep apnea; Narcolepsy,PHE-029,Safety screen: severe EDS may indicate untreated sleep apnea.,Reviewed
ASS-017,Sleep Diary (Consensus Sleep Diary),Outcome measure / Tracking,Sleep,Daily prospective sleep tracking during treatment,Adult,https://doi.org/10.5665/sleep.1642,Free — open-access; Consensus Sleep Diary format,"Daily entries; derived SOL, WASO, SE%, TST",Patient self-report (daily),Insomnia; Sleep phase disorders,PHE-006; PHE-007,More sensitive to within-week changes than retrospective measures.,Reviewed
ASS-018,VAS (Visual Analog Scale — Pain),Symptom scale,Pain,Pre/post-session pain rating in neuromodulation,Adult,,Free — public domain,100mm line; 0-100 score,Patient self-report,Acute/chronic pain; Fibromyalgia; Headache,PHE-011; PHE-012,Universal pain intensity measure. FDA-accepted PRO.; Public domain — no single authoritative URL,Reviewed
ASS-019,NRS (Numeric Rating Scale — Pain),Symptom scale,Pain,Verbal pain rating during treatment sessions,Adult,,Free — public domain,0-10 scale,Patient self-report,All pain conditions,PHE-011; PHE-012,IMMPACT consensus core outcome. Higher compliance than VAS clinically.; Public domain — no single authoritative URL,Reviewed
ASS-020,BPI-SF (Brief Pain Inventory — Short Form),Outcome measure,Pain,Comprehensive pain severity and interference tracking,Adult,https://www.mdanderson.org/research/departments-labs-institutes/departments-divisions/symptom-research/symptom-assessment-tools/brief-pain-inventory.html,Free for academic research with attribution (MD Anderson),0-10 NRS ratings; Severity + Interference subscales,Patient self-report,Chronic pain; Fibromyalgia; Cancer pain,PHE-011; PHE-012,IMMPACT-recommended. Captures both intensity and functional interference.,Reviewed
ASS-021,SF-MPQ-2 (Short-Form McGill Pain Questionnaire-2),Outcome measure,Pain,Multidimensional pain quality assessment,Adult,https://eprovide.mapi-trust.org,Copyright — Mapi Research Trust; academic use often free,22 items; 0-10; 4 subscales,Patient self-report,Neuropathic pain; Fibromyalgia; Chronic pain,PHE-011; PHE-012,Neuropathic quality subscale valuable for mechanism-specific neuromodulation.,Reviewed
ASS-022,MoCA (Montreal Cognitive Assessment),Screening tool,Cognition,Cognitive screening for neuromodulation patients,Adult,https://www.mocatest.org,Free for clinical use; certification required since 2020,Total 0-30; ≤25 suggests MCI,Clinician-administered,MCI; Alzheimer's; Parkinson's; Post-stroke; TBI,PHE-005; PHE-015; PHE-020,Quick 10-min screen. Certification required for use since 2020.,Reviewed
ASS-023,Trail Making Test (Parts A and B),Cognitive test,Cognition,Processing speed and cognitive flexibility assessment,Adult,,Public domain (original version),Time to completion (seconds),Clinician-administered,TBI; Depression; ADHD; Dementia,PHE-005; PHE-015,Part A: processing speed. Part B: cognitive flexibility/switching.; Public domain — no single authoritative URL,Reviewed
ASS-024,Stroop Color-Word Test,Cognitive test,Cognition,Inhibitory control assessment,Adult,https://www.parinc.com (PAR version),Public domain (basic versions); PAR standardized version requires purchase,Time; errors; interference score,Clinician-administered,ADHD; TBI; Depression; Dementia,PHE-005; PHE-009,Measures prefrontal inhibitory control.,Reviewed
ASS-025,PCL-5 (PTSD Checklist for DSM-5),Symptom scale,Trauma / PTSD,PTSD symptom tracking for neuromodulation protocols,Adult,https://www.ptsd.va.gov/professional/assessment/adult-sr/ptsd-checklist.asp,Free — public domain (VA/NCPTSD),20 items; Likert 0-4; Total 0-80,Patient self-report,PTSD; Acute stress disorder,PHE-004; PHE-018; PHE-019,Cutoff 31-33 for probable PTSD. Cluster scores available.,Reviewed
ASS-026,CAPS-5 (Clinician-Administered PTSD Scale),Diagnostic / Outcome,Trauma / PTSD,Gold standard clinician-rated PTSD assessment,Adult,https://www.ptsd.va.gov/professional/assessment/adult-int/caps.asp,Free — request form from VA/NCPTSD; training recommended,30 items; severity + frequency; Total 0-80,Clinician-administered,PTSD,PHE-004; PHE-018; PHE-019,Gold standard for PTSD diagnosis and severity. Training recommended.,Reviewed
ASS-027,Y-BOCS (Yale-Brown Obsessive Compulsive Scale),Symptom scale,OCD,OCD severity tracking for Deep TMS / rTMS protocols,Adult,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2765382/,Public domain; freely available,10 items; Total 0-40,Clinician-administered (self-report version available),OCD,PHE-016; PHE-017,Primary outcome in OCD neuromodulation trials. ≥30% reduction = response.,Reviewed
ASS-028,CGI (Clinical Global Impression),Global measure,Global severity / Improvement,Clinician-rated global severity and improvement tracking,Adult,,Public domain; freely reproducible,CGI-S: 1-7 severity; CGI-I: 1-7 improvement,Clinician-rated,All psychiatric conditions,Multiple,Quick clinician gestalt. CGI-I useful for treatment response.; Public domain — no single authoritative URL,Reviewed
ASS-029,WHODAS 2.0 (WHO Disability Assessment Schedule),Functional assessment,Function / Disability,Functional disability tracking across conditions,Adult,https://www.who.int/standards/classifications/international-classification-of-functioning-disability-and-health/who-disability-assessment-schedule,Free — WHO; no permission required,36 or 12 items; 5-point scale,Patient self-report,All conditions with functional impact,Multiple,Condition-agnostic. Useful across neuromodulation protocols.,Reviewed
ASS-030,TMS Safety Screening Questionnaire (Rossi et al.),Safety screening,TMS Safety,Pre-treatment safety screening for all TMS patients,Adult,https://pubmed.ncbi.nlm.nih.gov/19833552/,Free — published as part of safety guidelines,Yes/No questionnaire,Patient self-report + clinician review,All TMS patients,All TMS-related phenotypes,"MANDATORY before TMS. Covers metallic implants, seizure history, medications, pregnancy.",Reviewed
ASS-031,tDCS Adverse Effects Questionnaire (Brunoni et al.),Adverse event tracking,tDCS Safety,Systematic AE tracking during tDCS treatment,Adult,https://pubmed.ncbi.nlm.nih.gov/21777826/,Free — published in peer-reviewed literature,Systematic symptom checklist with severity ratings,Patient self-report,All tDCS patients,All tDCS-related phenotypes,"Tracks: tingling, itching, burning, headache, scalp pain, etc.",Reviewed
ASS-032,Contraindication Checklist for Brain Stimulation,Safety screening,General Safety,Universal contraindication screen for all neuromodulation,Adult,,Template — clinic-specific implementation,Checklist format,Clinician review,All neuromodulation patients,All,"Covers: implants, seizure history, medications, pregnancy, cardiac, skin integrity.",Reviewed
ASS-033,qEEG Assessment Categories,Neurophysiological assessment,Neurophysiology,Baseline brain activity mapping for protocol selection,Adult,,Requires qEEG equipment and normative database (proprietary),Frequency band power; coherence; asymmetry metrics,Clinician-administered + automated analysis,All neurofeedback and TMS patients,PHE-001; PHE-026; PHE-027,qEEG-guided treatment selection is clinician-facing only. Not a diagnostic tool.,Reviewed
ASS-034,THI (Tinnitus Handicap Inventory),Symptom scale,Tinnitus,Tinnitus severity and impact assessment,Adult,https://pubmed.ncbi.nlm.nih.gov/8628248/,Free — original validation freely available,25 items; Yes/Sometimes/No; Total 0-100,Patient self-report,Tinnitus,PHE-016 (note: different from OCD phenotype — tinnitus-specific),"Grade 1 (slight, 0-16) to Grade 5 (catastrophic, 78-100).",Reviewed
ASS-035,TFI (Tinnitus Functional Index),Outcome measure,Tinnitus,Treatment-responsive tinnitus outcome measure,Adult,https://pubmed.ncbi.nlm.nih.gov/22249877/,Free for clinical and research use,25 items; 0-10 each; Mean score 0-100,Patient self-report,Tinnitus,,More treatment-responsive than THI. 13-point change = clinically meaningful.,Reviewed
ASS-036,AQ (Autism Quotient),Screening tool,Autism,Autism trait screening,Adult,https://www.autismresearchcentre.com/tests/,Free for research and clinical use (ARC Cambridge),50 items; Binary scoring; Total 0-50,Patient self-report,ASD,,"Screening only, not diagnostic. Cutoff ≥32 suggests possible ASD.",Reviewed
ASS-037,SRS-2 (Social Responsiveness Scale-2),Symptom scale,Autism / Social,Social communication/interaction assessment,Pediatric/Adult,https://www.wpspublish.com/srs-2,Copyrighted — purchase required (WPS),T-scores; 65 items,Informant-report (parent/teacher/other),ASD; Social communication difficulties,,Dimensional measure of ASD traits. Used in neuromodulation ASD research.,Reviewed
ASS-038,Fagerström Test for Nicotine Dependence,Screening tool,Addiction,Nicotine dependence severity for smoking cessation TMS,Adult,https://www.drugabuse.gov/sites/default/files/FagerstromTest.pdf,Free — public domain,6 items; Total 0-10,Patient self-report,Smoking / Nicotine dependence,PHE-025,Score ≥6 indicates high dependence.,Reviewed
ASS-039,COWS (Clinical Opiate Withdrawal Scale),Symptom scale,Addiction / Withdrawal,Opioid withdrawal severity tracking for taVNS,Adult,https://www.asam.org/,Free — public domain,11 items; Total 0-48,Clinician-administered,Opioid withdrawal,PHE-025,"Mild (5-12), Moderate (13-24), Moderately severe (25-36), Severe (≥37).",Reviewed
ASS-040,FMA-UE (Fugl-Meyer Assessment — Upper Extremity),Motor assessment,Rehabilitation,Upper extremity motor recovery tracking post-stroke,Adult,,Free — original described in literature,33 items; Total 0-66,Clinician-administered,Stroke rehabilitation,PHE-014; PHE-028,Gold standard for post-stroke motor recovery. Used in rTMS stroke trials.; Public domain — no single authoritative URL,Reviewed
ASS-041,UPDRS (Unified Parkinson's Disease Rating Scale),Motor / Global assessment,Movement disorders,PD motor symptom tracking for DBS,Adult,https://www.movementdisorders.org/MDS/MDS-Rating-Scales/MDS-Unified-Parkinsons-Disease-Rating-Scale-MDS-UPDRS.htm,Free with registration from MDS,Multiple parts; Part III motor exam most used,Clinician-administered,Parkinson's disease,PHE-020,MDS-UPDRS Part III used to track DBS motor response. 40-60% improvement typical.,Reviewed
ASS-042,Seizure Diary,Symptom tracking,Epilepsy,Seizure frequency/severity tracking for VNS/DBS,Adult; Pediatric,,Free — clinic-provided template or apps,Daily prospective recording,Patient/caregiver self-report,Epilepsy,PHE-022,"Essential for VNS and DBS efficacy monitoring. Track: type, duration, triggers, post-ictal state.",Reviewed
