Condition_ID,Condition_Name,Category,Symptom_Clusters,Common_Phenotypes,Severity_Levels,Population,Core_Assessments,Contraindication_Alerts,Relevant_Modalities,Highest_Evidence_Level,Notes,Review_Status
CON-032,Bipolar Disorder — Manic Phase,Psychiatric — Psychotic,,,,,,,,,JS slug: bipolar-mania,Unreviewed
CON-033,Borderline Personality Disorder,Psychiatric — Personality,,,,,,,,,JS slug: borderline-personality,Unreviewed
CON-034,Substance Use Disorder,Substance & Eating,,,,,,,,,JS slug: substance-use-disorder,Unreviewed
CON-035,Alcohol Use Disorder,Substance & Eating,,,,,,,,,JS slug: alcohol-use-disorder,Unreviewed
CON-036,Eating Disorders,Substance & Eating,,,,,,,,,JS slug: eating-disorders,Unreviewed
CON-037,Neuropathic Pain,Pain,,,,,,,,,JS slug: neuropathic-pain,Unreviewed
CON-038,Hypersomnia / Narcolepsy,Sleep,,,,,,,,,JS slug: hypersomnia,Unreviewed
CON-039,Restless Leg Syndrome,Sleep,,,,,,,,,JS slug: restless-leg,Unreviewed
CON-040,Multiple Sclerosis — Fatigue,Neurological,,,,,,,,,JS slug: ms-fatigue,Unreviewed
CON-041,Post-COVID Cognitive Symptoms,Other,,,,,,,,,JS slug: post-covid-cognitive,Unreviewed
CON-042,Long COVID Fatigue,Other,,,,,,,,,JS slug: long-covid-fatigue,Unreviewed
CON-043,Burnout / Executive Dysfunction,Other,,,,,,,,,JS slug: burnout,Unreviewed
CON-044,Chronic Fatigue Syndrome,Other,,,,,,,,,JS slug: chronic-fatigue,Unreviewed
CON-045,Athletic Performance Optimization,Other,,,,,,,,,JS slug: athletic-performance,Unreviewed
CON-046,ADHD + Anxiety (Comorbid),Comorbid & Special,,,,,,,,,JS slug: adhd-anxiety-comorbid,Unreviewed
CON-047,Depression + Chronic Pain (Comorbid),Comorbid & Special,,,,,,,,,JS slug: depression-pain-comorbid,Unreviewed
CON-048,PTSD + TBI (Comorbid),Comorbid & Special,,,,,,,,,JS slug: ptsd-tbi-comorbid,Unreviewed
CON-049,Inflammatory Depression,Comorbid & Special,,,,,,,,,JS slug: inflammatory-depression,Unreviewed
CON-050,Cognitive Enhancement — Healthy Aging,Cognitive,,,,,,,,,JS slug: cognitive-enhancement,Unreviewed
CON-051,Pre-Surgical Anxiety,Psychiatric — Anxiety,,,,,,,,,JS slug: pre-surgical-anxiety,Unreviewed
CON-052,Chemotherapy-Related Fatigue,Other,,,,,,,,,JS slug: chemo-fatigue,Unreviewed
