Region_ID,Region_Name,Abbreviation,Lobe,Depth,EEG_Position_10_20,Brodmann_Area,Primary_Functions,FNON_Network,Key_Conditions,Targetable_Modalities,Notes,Review_Status
BR-011,Posterior Parietal Cortex,PPC,Parietal,Cortical,"P3/P4,Pz","BA5,7","Visuospatial integration, sensorimotor transformation, spatial attention","DAN, ECN, Sensorimotor","Hemineglect, TBI, Apraxia, Stroke posterior","TPS, TMS, tDCS, tACS, LIFU",Right PPC for spatial attention. FNON: Theta suppression + beta restoration.,Reviewed
BR-012,Precuneus,PCun,Parietal,Cortical,Pz,BA7,"Episodic memory, self-referential thought, consciousness, DMN core",DMN (core hub),"AD, MCI, DOC, Depression","TPS, tDCS, tACS(40Hz), PBM, LIFU",Primary DMN hub. TPS AD targets Pz. FNON: 40 Hz gamma entrainment (tACS) for amyloid.,Reviewed
BR-013,Posterior Cingulate Cortex,PCC,Cingulate,Cortical,"Pz,CPz","BA23,31","Autobiographical memory, self-referential, mind-wandering, consciousness",DMN (major hub),"AD, MCI, Depression, DOC, Schizophrenia","TPS (Pz target), tDCS, tACS(40Hz), PBM, LIFU",PCC-Precuneus axis is DMN core. Hypometabolism = AD biomarker. FNON: Alpha restoration.,Reviewed
BR-014,Angular Gyrus,AG,Parietal,Cortical,"P3(L),CP5",BA39,"Language comprehension, reading, semantic processing, mathematical cognition","Language, DMN","AD, Dyslexia, Dyscalculia, Semantic aphasia","TPS, TMS, tDCS",TPS AD multi-site includes AG. FNON: Alpha restoration for semantic access.,Reviewed
BR-015,Superior Temporal Gyrus,STG,Temporal,Cortical,"T3/T5(L),T4/T6(R)","BA22,41,42","Primary auditory (A1), Wernicke's (L), speech perception, ToM","Language, Auditory, Social","Schizophrenia (AH), Tinnitus, APD, Autism","TMS (inhibitory L-STG), tDCS cathodal, tRNS, tACS, taVNS",tDCS cathodal reduces AH. FNON: Beta suppression (L) for hallucinations.,Reviewed
BR-016,Middle Temporal Gyrus,MTG,Temporal,Cortical,"T3/T5,T4/T6",BA21,"Semantic memory, face recognition, language (L), multimodal association","Language, DMN, Social","AD, Semantic dementia, TLE","TPS, TMS, tDCS, LIFU",TPS T3/T4 in multi-site AD protocol. FNON: Theta suppression; alpha restoration.,Reviewed
BR-017,Hippocampus,HC,Temporal (mesial),Deep,T3/T4 (approx),None (deep),"Episodic memory, spatial navigation, pattern separation, neurogenesis","Limbic, DMN, Memory","AD, MCI, PTSD, TLE, Depression","LIFU, PBM intranasal, DBS, taVNS (indirect)",LIFU and PBM intranasal are primary HC modalities. taVNS drives HC plasticity via NTS-HC. FNON: Theta facilitation.,Reviewed
BR-018,Amygdala,Amy,Temporal (mesial),Deep,"T3/T4,F7/F8 (approx)",None (deep),"Fear conditioning, emotional memory, threat detection, anxiety regulation","Limbic, Salience, Fear","PTSD, Anxiety, Depression, Addiction, Autism","LIFU, DBS, taVNS (indirect), Deep TMS",Cannot reach with surface stimulation. taVNS/CES modulate via vagal afferents. FNON: Theta suppression.,Reviewed
BR-019,Entorhinal Cortex,EC,Temporal,Deep cortical,T3/T4,"BA28,34","HC gateway, grid cells, olfactory, memory consolidation relay","Limbic, Memory","AD (first affected), MCI, TLE","LIFU, DBS, taVNS, PBM intranasal",First tau pathology region in AD. 40 Hz gamma entrainment targets EC-HC theta-gamma coupling. FNON critical for AD prevention.,Reviewed
BR-020,Hippocampal-EC Complex,MTL,Temporal,Deep,T3/T4,"BA28,34,35","Memory formation, spatial navigation, context encoding, semantic learning",Limbic-Memory,"AD, MCI, TLE, Amnesia","LIFU, PBM, taVNS, DBS (entorhinal)",Combined target: LIFU + PBM intranasal + taVNS for tri-modal MTL memory circuit restoration.,Reviewed
BR-021,Insula,Ins,Buried cortex,Deep cortical,T3-C3/T4-C4 area,BA13,"Interoception, pain awareness, drug craving, social emotion, autonomic",Salience (anterior hub),"Chronic pain, Addiction, Anxiety, PTSD, Eating disorders","Deep TMS (H4/H coils), LIFU, taVNS, DBS",FDA cleared BrainsWay H4 (smoking cessation bilateral insula). FNON: Gamma suppression for pain/craving.,Reviewed
BR-022,Primary Visual Cortex,V1,Occipital,Cortical,"Oz,O1/O2",BA17,"Primary visual, edge detection, retinotopic organisation",Visual Network,"Migraine, Visual stroke, Charles Bonnet","TMS, tDCS, tACS, LIFU","LIFU landmark: Lee 2016 (Sci Rep, 376 cit) — V1 phosphene confirmed. Occipital alpha = qEEG reference.",Reviewed
BR-023,Cingulate Motor Area,CMA,Cingulate,Cortical,"FCz,Cz",BA24,"Movement initiation, ERN, motivational aspects of movement","Sensorimotor, Salience","PD (motivation), OCD, Depression","TPS, TMS, tDCS, tACS",TPS PD protocol includes CMA at FCz. FNON: Beta suppression + theta reduction.,Reviewed
BR-024,Thalamus,Thal,Subcortical,Deep,Cz/T3T4 reference,Multiple nuclei,"Sensory relay, arousal, consciousness, motor relay (VIM), pain (VPL), cognition (MD)",All networks (thalamocortical loops),"Chronic pain, DOC, ET (VIM), AD, Insomnia, Epilepsy (ANT)","DBS (VIM,ANT), LIFU (VPL,VIM), MRgFUS (VIM ablation)","Only DBS/LIFU/MRgFUS reach thalamus. VPL=pain, VIM=tremor, MD=cognition, ANT=epilepsy. FNON: Thalamic relay resets all loops.",Reviewed
BR-025,Basal Ganglia / Striatum,BG,Subcortical,Deep,Fz/FCz reference,None,"Motor learning, habit formation, reward, action selection","Reward, Sensorimotor","PD, OCD (caudate), Addiction (NAc), ADHD","DBS (STN/GPi,VC/VS), LIFU (NAc), Deep TMS",STN DBS gold standard PD. NAc (addiction) = LIFU only noninvasive option. FNON: Beta desynchronization.,Reviewed
BR-026,Subthalamic Nucleus,STN,Subcortical,Deep,No direct EEG,None,"Motor control, action inhibition, emotional processing, cognitive control",Cortico-STN hyperdirect,"PD, OCD, ET, ADHD","DBS (FDA approved 1997 PD), MRgFUS",FDA approved DBS target for PD. Beta LFP in STN is measurable biomarker. DBS 130 Hz desynchronises beta.,Reviewed
BR-027,Globus Pallidus Internus,GPi,Subcortical,Deep,No direct EEG,None,"Motor inhibition, dopamine relay, dystonia suppression",Cortico-BG output,"PD (dyskinesia), Dystonia, Tourette's","DBS (FDA approved), MRgFUS",GPi preferred when dyskinesia prominent. Dystonia: longer PW (120-450 μs). FNON: DBS resets GPi output.,Reviewed
BR-028,Nucleus Accumbens,NAc,Subcortical,Deep,Fz area (deep),None,"Reward, motivation, reinforcement, craving, pleasure, anhedonia","Reward, Mesolimbic","Addiction, Depression, OCD (VC/VS), Eating disorders","DBS (VC/VS HDE), LIFU (noninvasive NAc — emerging), Deep TMS",Only noninvasive modality: LIFU. TPS TRD: NAc case 2023. FNON: Theta/gamma balance for reward.,Reviewed
BR-029,Locus Coeruleus,LC,Brainstem,Deep,No EEG — deep,None,"Noradrenergic regulation, arousal, attention, stress, BDNF, neuroplasticity",Arousal-Noradrenergic,"PTSD, AD, Depression, Anxiety, CFS","taVNS (primary NTS→LC axis), CES (indirect), DBS (emerging)",taVNS → NTS → LC → cortical NE + BDNF release. Primary mechanism for taVNS memory/mood. FNON: taVNS = LC activator.,Reviewed
BR-030,Wernicke's Area,WA,Temporal,Cortical,T3/T5 (L),BA22,"Language comprehension, phonological processing, semantic access",Language,"Stroke aphasia, AD (language), Dyslexia","TMS (mapping), tDCS, TPS",TMS inhibition maps Wernicke's for presurgical planning. Facilitatory tDCS for aphasia recovery.,Reviewed
BR-031,Broca's Area,BA44,Frontal,Cortical,F7 (L),"BA44,45","Language production, phonological assembly, syntax, verbal WM, mirror neurons",Language,"Stroke aphasia, Stuttering, ALS (speech)","TMS (facilitatory), tDCS (anodal), TPS",High-freq TMS (10 Hz) over ipsilesional Broca's accelerates aphasia recovery. FNON: Beta facilitation.,Reviewed
BR-032,Cerebellum (lateral),CB,Posterior fossa,Posterior,Oz/Iz (nearest); P9/P10,None direct,"Motor coordination, timing, motor learning, balance, cognitive (Crus II)","Cerebellar, Sensorimotor","Essential tremor, Ataxia, Stroke (motor), Dystonia","Cerebellar TMS (1 Hz or TBS), transcerebellar tDCS, TPS (emerging)",Cerebellar TMS 1 Hz reduces tremor. Cerebellar-M1 connectivity for stroke. FNON: CB-M1 beta coherence normalisation.,Reviewed
BR-033,Cerebellar Vermis,CV,Posterior fossa,Posterior,Oz,None,"Midline motor, emotional regulation (fastigial), autism social deficits, posture","Cerebellar, Limbic-CB","ASD, Depression, Schizophrenia","Cerebellar TMS, transcerebellar tDCS, TPS (ASD protocol)",TPS ASD protocol (Brain Commun RCT 2023) includes cerebellar-linked networks. FNON: CB-limbic theta for ASD.,Reviewed
BR-034,Default Mode Network (full),DMN,Network,Distributed,"Pz,Fz,F3/F4,P3/P4,T3/T4","BA7,10,23,39","Self-referential, autobiographical memory, mind-wandering, social cognition, consciousness",DMN,"AD, MCI, Depression, Autism, Schizophrenia, ADHD, DOC","TPS (6-site DMN), tACS 40 Hz, PBM (transcranial+intranasal), LIFU, tDCS",SOZO primary TPS target for AD — 6 DMN nodes. FNON: TPS + 40 Hz tACS + PBM triple-modal.,Reviewed
BR-035,Salience Network,SN,Network,Distributed,"Fz/AFz,T3/T4 (insula)","BA24,13","Salient stimulus detection, DMN-ECN switching, interoception, error detection",Salience,"Anxiety, OCD, PTSD, Autism, Chronic pain","Deep TMS (H7), LIFU (insula), taVNS, TPS",Cannot surface stimulate insula. Deep TMS or LIFU needed. FNON: Gamma/alpha balance across SN.,Reviewed
BR-036,Executive Control Network,ECN,Network,Distributed,"F3/F4,P3/P4","BA9,46,40,7","Cognitive control, working memory, goal-directed behaviour, planning, inhibition",ECN,"ADHD, Schizophrenia, MCI, Depression, OCD, TBI","TPS, TMS (L-DLPFC), tDCS, tACS, PBM, tRNS",ECN = DLPFC + PPC bilateral. FNON: Beta facilitation + alpha modulation.,Reviewed
BR-037,Sensorimotor Network,SMN,Network,Distributed,"C3/C4,Cz,Fz","BA4,1-3,6","Movement, somatosensory integration, motor learning, body schema",Sensorimotor,"PD, Stroke, MS, Chronic pain, Dystonia","TPS, TMS, tDCS, tACS, PBM, PEMF, taVNS (paired PT)",Mu + Beta = key FNON biomarkers for motor disorders. Beta suppression = primary PD treatment.,Reviewed
BR-038,Limbic Network,LN,Network,Distributed (deep+cortical),"T3/T4,Fz,Pz","BA28,24,23,13","Emotional processing, fear memory, reward, HPA-axis regulation",Limbic,"PTSD, Anxiety, Depression, Addiction, Eating disorders","taVNS (primary), TPS, Deep TMS, LIFU, DBS (sgACC), CES",taVNS most effective for limbic theta suppression. FNON: Theta-Gamma balance in limbic.,Reviewed
BR-039,Dorsal Attention Network,DAN,Network,Distributed,"P3/P4,F7/F8","BA7,8,40","Top-down spatial attention, voluntary orienting, attentional control",DAN,"Hemineglect, ADHD, TBI, Stroke posterior","TMS, tDCS, tACS (alpha), TPS",Alpha lateralisation = qEEG biomarker for hemineglect. FNON: Alpha-asymmetry correction.,Reviewed
BR-040,Visual Network,VisN,Network,Distributed,"Oz,O1/O2,P7/P8","BA17,18,19","Visual scene processing, object/motion/colour recognition",Visual,"Migraine, Visual stroke, Charles Bonnet","TMS, tDCS, tACS, LIFU (Lee 2016 V1)",Occipital alpha = primary qEEG reference. LIFU V1 landmark. FNON: Alpha normalisation.,Reviewed
BR-041,Auditory Network,AudN,Network,Distributed,"T3/T5,T4/T6","BA22,41,42","Auditory processing, speech, pitch discrimination, auditory-motor",Auditory,"Tinnitus, Schizophrenia (AH), APD","TMS (1 Hz L-STG), tDCS cathodal, tRNS, tACS, taVNS",Tinnitus alpha is maladaptive — suppress (paradox). tRNS stochastic resonance for auditory S/N.,Reviewed
BR-042,Language Network,LangN,Network,Distributed (L),"F7,T3,T5,P3","BA44,22,39,40","Speech production, language comprehension, reading, phonological processing",Language,"Aphasia, Dyslexia, ALS speech, AD language","TMS (hemispheric rebalancing), tDCS anodal L-Broca, TPS multi-site",Inter-hemispheric imbalance model: inhibit R-IFG + facilitate L-IFG. FNON: Beta facilitation (L).,Reviewed
BR-043,Reward / Mesolimbic,Reward,Network,Distributed (deep+cortical),"Fp1/Fp2,Fz,T3/T4",None/deep,"Reward prediction, motivation, anhedonia, craving, dopaminergic signalling","Reward, Mesolimbic","Depression (anhedonia), Addiction, OCD, Eating disorders","TMS (OFC), DBS (NAc/VC-VS), LIFU (NAc), taVNS (VTA via LC)",FNON: Theta suppression (craving) + Gamma facilitation (anhedonia). taVNS + LIFU NAc combination.,Reviewed
BR-044,Frontoparietal Control Network,FPCN,Network,Distributed,"F3/F4,P3/P4,T5/T6","BA9,46,39,40","Flexible cognitive control, task switching, metacognition, DMN-ECN bridging",FPCN,"OCD, Schizophrenia, MCI, ADHD, Depression","TPS bilateral, TMS L-DLPFC, tDCS, tACS (theta coherence)",FNON: Theta coherence entrainment (frontal-parietal 6 Hz) + TPS bilateral for reconfiguration.,Reviewed
BR-045,Cerebellar-Cortical Network,CCN,Network,Distributed,"Oz/Iz,C3/C4,F3/F4",None/deep,"Motor timing, cerebellar plasticity, motor learning, cognitive (Crus II), emotional (vermis)","Cerebellar, Sensorimotor","ET, Ataxia, Stroke, Autism (vermis), Dystonia","Cerebellar TMS, transcerebellar tDCS, TPS (emerging CB), DBS (dentate)",FNON: CB-M1 beta coherence normalisation via cerebellar TMS + M1 TPS combination.,Reviewed
BR-046,Pain Matrix / Network,PMN,Network,Distributed,"Cz,T3/T4,Fz","BA1-3,13,24","Pain signal integration, emotional pain, descending modulation, nociceptive attention",Pain Matrix,"Chronic pain, Fibromyalgia, CRPS, Neuropathic pain","TPS, TMS (M1), tDCS (M1 anodal), taVNS, CES, LIFU (thalamic), PBM, PEMF","Multiple targets: M1 (tDCS), thalamus (LIFU), vagal (taVNS). FNON: Gamma suppression + alpha restoration.",Reviewed
