resource_slug,paper_id,title,kind,year,topical_tags,status,summary,analyzer_use,agent_use
qeeg-course-research-library,paper-70416e6eeeb2,"Article Summary:Gunkelman, J., (2009). Drug exposure and EEG/qEEG findings: A technical guide. Brain ScienceInternational. Pleasanton, CA",article_summary,2012,psychopharmacology | artifact | connectivity | reading | reporting,extracted,"Article Summary:Gunkelman, J., (2009). Drug exposure and EEG/qEEG findings: A technical guide.","Use when beta excess, slowing, or altered arousal may be medication- or stimulant-related rather than intrinsic dysfunction.","Use for medication and substance-confound explanations in analyzer, raw-review, and report narratives."
qeeg-course-research-library,paper-e9690ba2671d,Independent EEG Sources Are Dipolar,research_pdf,2012,artifact | connectivity | gamma | reporting,extracted,"Independent EEG Sources Are Dipolar Arnaud Delorme1,2,4*, Jason Palmer1, Julie Onton1,5, Robert Oostenveld3, Scott Makeig1 1 Swartz Center for Computational Neuroscience, University of California San Diego, La Jolla, California, United States of America,2 Centre de recherche Cerveau et Cognition, Paul Sabatier University, Toulouse, France,3 Donders Institute for Brain, Cognition and Behaviour, Radboud University, Nijmegen, The Netherlands,4 CERCO, CNRS, Toulouse, France,5 Naval Health Research Center, San Diego, California, United States of America Abstract Independent component analysis (ICA) and blind source separation (BSS) methods are increasingly used to separate individual brain and ...",Use when separating source-level or ICA-style artifact reasoning from brain-based findings.,Use for artifact-reduction guidance when AI or staff need literature support for rejecting contaminated segments.
qeeg-course-research-library,paper-165e26b1f574,Accelerating the world's research.,research_pdf,2010,psychopharmacology | artifact | adhd | autism | reading | neurofeedback | reporting,extracted,"Accelerating the world's research. A position paper on neurofeedback for the treatment of ADHD Leslie Sherlin Journal of Neurotherapy Cite this paper Get the citation in MLA, APA, or Chicago styles Downloaded from Academia.edu  Related papers Evaluation of neurofeedback in ADHD: The long and winding road Ute Strehl Determination of the Effects of Neurofeedback Training in the Neuropsychological Rehabilitation in In… Mahnaz Moghanloo Neurofeedback for the treatment of children and adolescents with ADHD: a randomized and controlle… Irene Elgen, N.","Use when beta excess, slowing, or altered arousal may be medication- or stimulant-related rather than intrinsic dysfunction.","Use for medication and substance-confound explanations in analyzer, raw-review, and report narratives."
qeeg-course-research-library,paper-99b144049862,"Article Summary:Sherlin, L., Arns, M., Lubar, J., & Sokhadze, E. (2010). A position paper on Neurofeedback forthe treatment of ADHD. Journal of Neurotherapy, 14(2), 66–78.doi:10...",article_summary,2010,artifact | adhd | neurofeedback | reporting,extracted,"Article Summary:Sherlin, L., Arns, M., Lubar, J., & Sokhadze, E. (2010).",Use when separating source-level or ICA-style artifact reasoning from brain-based findings.,Use for artifact-reduction guidance when AI or staff need literature support for rejecting contaminated segments.
qeeg-course-research-library,paper-9551c2ccdce1,Note,research_pdf,2010,artifact | connectivity | adhd | autism | reading | reporting,extracted,"Note Reduced interhemispheric coherence in dyslexic adults Monica Dhara,*, Pieter H. Beena,b, Ruud B.",Use when separating source-level or ICA-style artifact reasoning from brain-based findings.,Use for artifact-reduction guidance when AI or staff need literature support for rejecting contaminated segments.
qeeg-course-research-library,paper-901a048af143,"Article Summary:Arns, M., de Ridder, S., Strehl, U., Breteler, M., & Coenen, A. (2009). Efficacy ofNeurofeedback treatment in ADHD: The effects on inattention, Impulsivity and H...",article_summary,2009,psychopharmacology | artifact | adhd | neurofeedback | reporting,extracted,"Article Summary:Arns, M., de Ridder, S., Strehl, U., Breteler, M., & Coenen, A. (2009).","Use when beta excess, slowing, or altered arousal may be medication- or stimulant-related rather than intrinsic dysfunction.","Use for medication and substance-confound explanations in analyzer, raw-review, and report narratives."
qeeg-course-research-library,paper-89a14202e3a0,"Article Summary:Makeig, S. and Onton, J. (2009) ERP Features and EEG Dynamics: AN ICA Perspective (AnInvited Chapter) Swartz Center for Computational Neuroscience, Institute for...",article_summary,2009,artifact,extracted,"Article Summary:Makeig, S. and Onton, J.",Use when separating source-level or ICA-style artifact reasoning from brain-based findings.,Use for artifact-reduction guidance when AI or staff need literature support for rejecting contaminated segments.
qeeg-course-research-library,paper-19975f452d5b,Drug exposure and EEG/qEEG findings,research_pdf,2009,psychopharmacology | artifact | connectivity | reading | reporting,extracted,"Drug exposure and EEG/qEEG findings Dec 23rd, 2009 by Jay Gunkelman. A technical guide by Jay Gunkelman, QEEG-D General comments: There is a generally reciprocal effect between alpha and beta, as brain stem stimulation desynchronizes the alpha generators, beta is seen.","Use when beta excess, slowing, or altered arousal may be medication- or stimulant-related rather than intrinsic dysfunction.","Use for medication and substance-confound explanations in analyzer, raw-review, and report narratives."
qeeg-course-research-library,paper-84d388c41046,"See discussions, stats, and author profiles for this publication at: https://www.researchgate.net/publication/228639595",research_pdf,2009,artifact | connectivity | gamma | reading | reporting,extracted,"See discussions, stats, and author profiles for this publication at: https://www.researchgate.net/publication/228639595 ERP features and EEG dynamics: An ICA perspective Article · January 2012 DOI: 10.1093/oxfordhb/9780195374148.013.0035 CITATIONS 68 READS 2,510 2 authors: Some of the authors of this publication are also working on these related projects: High-resolution EEG brain and brain/body imaging View project 'Your surprise or mine?' EEG signatures of prediction error and outcome value in a dyadic turn-taking game View project Scott Makeig University of California, San Diego 415 PUBLICATIONS 57,168 CITATIONS SEE PROFILE Julie Onton University of California, ...",Use when separating source-level or ICA-style artifact reasoning from brain-based findings.,Use for artifact-reduction guidance when AI or staff need literature support for rejecting contaminated segments.
qeeg-course-research-library,paper-f58e722d85cd,Article Summary:,article_summary,2008,artifact | connectivity,extracted,"Article Summary: Thatcher, R. W., North, D.",Use when separating source-level or ICA-style artifact reasoning from brain-based findings.,Use for artifact-reduction guidance when AI or staff need literature support for rejecting contaminated segments.
qeeg-course-research-library,paper-14e22eb5cbac,"Article Summary:Enoch, M.A., Shen, P.-H., Ducci, F., Yuan, Q., Liu, J., White, K. V., … Goldman, D. (2008).Common genetic origins for EEG, alcoholism and anxiety: The role of CR...",article_summary,2008,artifact | reporting,extracted,"Article Summary:Enoch, M.A., Shen, P.-H., Ducci, F., Yuan, Q., Liu, J., White, K. V., … Goldman, D.",Use when separating source-level or ICA-style artifact reasoning from brain-based findings.,Use for artifact-reduction guidance when AI or staff need literature support for rejecting contaminated segments.
qeeg-course-research-library,paper-8fa7a9512fa7,"Common Genetic Origins for EEG, Alcoholism and",research_pdf,2008,psychopharmacology | artifact | connectivity | dementia | gamma | reporting,extracted,"Common Genetic Origins for EEG, Alcoholism and Anxiety: The Role ofCRH-BP Mary-Anne Enoch1*, Pei-Hong Shen1, Francesca Ducci1, Qiaoping Yuan1, Jixia Liu1, Kenneth V. White1, Bernard Albaugh2, Colin A.","Use when beta excess, slowing, or altered arousal may be medication- or stimulant-related rather than intrinsic dysfunction.","Use for medication and substance-confound explanations in analyzer, raw-review, and report narratives."
qeeg-course-research-library,paper-c09cd9bcfcf0,"Article Summary:Coben, R., & Padolsky, I. (2007). Assessment-guided Neurofeedback for autistic spectrumdisorder. Journal of Neurotherapy, 11(1), 5–23. doi:10.1300/j184v11n01_02",article_summary,2007,psychopharmacology | artifact | connectivity | autism | neurofeedback | reporting,extracted,"Article Summary:Coben, R., & Padolsky, I. (2007).","Use when beta excess, slowing, or altered arousal may be medication- or stimulant-related rather than intrinsic dysfunction.","Use for medication and substance-confound explanations in analyzer, raw-review, and report narratives."
qeeg-course-research-library,paper-b16c9c38ce53,"Article Summary:Zarei, M., Johansen-Berg, H., Smith, S., Ciccarelli, O., Thompson, A. J., & Matthews, P. M.(2006). Functional anatomy of interhemispheric cortical connections in...",article_summary,2006,artifact | connectivity,extracted,"Article Summary:Zarei, M., Johansen-Berg, H., Smith, S., Ciccarelli, O., Thompson, A. J., & Matthews, P.",Use when separating source-level or ICA-style artifact reasoning from brain-based findings.,Use for artifact-reduction guidance when AI or staff need literature support for rejecting contaminated segments.
qeeg-course-research-library,paper-a6ada490e060,J. Anat.,research_pdf,2006,artifact | connectivity | dementia | reading | reporting,extracted,J. Anat.,Use when separating source-level or ICA-style artifact reasoning from brain-based findings.,Use for artifact-reduction guidance when AI or staff need literature support for rejecting contaminated segments.
qeeg-course-research-library,paper-9a691c77adcf,"Article Summary:Herrmann, C., & Demiralp, T. (2005). Human EEG gamma oscillations in neuropsychiatricdisorders. Clinical Neurophysiology, 116(12), 2719–2733. doi:10.1016/j.clinp...",article_summary,2005,artifact | connectivity | adhd | dementia | gamma | reporting,extracted,"Article Summary:Herrmann, C., & Demiralp, T. (2005).",Use when separating source-level or ICA-style artifact reasoning from brain-based findings.,Use for artifact-reduction guidance when AI or staff need literature support for rejecting contaminated segments.
qeeg-course-research-library,paper-a642795fb9b2,Decreased EEG synchronization in Alzheimer’s disease and,research_pdf,2005,psychopharmacology | artifact | connectivity | dementia | gamma | reporting,extracted,"Decreased EEG synchronization in Alzheimer’s disease and mild cognitive impairment T. Koeniga*, L.","Use when beta excess, slowing, or altered arousal may be medication- or stimulant-related rather than intrinsic dysfunction.","Use for medication and substance-confound explanations in analyzer, raw-review, and report narratives."
qeeg-course-research-library,paper-af4b4928f089,Invited review,research_pdf,2005,psychopharmacology | artifact | connectivity | adhd | autism | dementia | gamma | reporting,extracted,"Invited review Human EEG gamma oscillations in neuropsychiatric disorders C.S. Herrmanna,*, T.","Use when beta excess, slowing, or altered arousal may be medication- or stimulant-related rather than intrinsic dysfunction.","Use for medication and substance-confound explanations in analyzer, raw-review, and report narratives."
qeeg-course-research-library,paper-8464d20be27e,"Article Summary:Ratcliff-Baird, B. (2002). ADHD and Stuttering: Similar EEG profiles suggest Neurotherapy asan adjunct to traditional speech therapies. Journal of Neurotherapy, ...",article_summary,2002,artifact | adhd | reading | neurofeedback,extracted,"Article Summary:Ratcliff-Baird, B. (2002).",Use when separating source-level or ICA-style artifact reasoning from brain-based findings.,Use for artifact-reduction guidance when AI or staff need literature support for rejecting contaminated segments.
qeeg-course-research-library,paper-e46932337900,"Article Summary:Salinsky, M. C., Binder, L. M., Oken, B. S., Storzbach, D., Aron, C. R., & Dodrill, C. B. (2002).Effects of Gabapentin and carbamazepine on the EEG and Cognition...",article_summary,2002,psychopharmacology | artifact | reporting,extracted,"Article Summary:Salinsky, M. C., Binder, L.","Use when beta excess, slowing, or altered arousal may be medication- or stimulant-related rather than intrinsic dysfunction.","Use for medication and substance-confound explanations in analyzer, raw-review, and report narratives."
qeeg-course-research-library,paper-e20e113b4e3d,"Article Summary:Thornton, K., (2002), Electrophysiology (QEEG) correlates of effective reading memory:Towards a generator/activation theory of the mind. J. Neurotherapy:6(3). 37-66",article_summary,2002,artifact | connectivity | reading | neurofeedback | reporting,extracted,"Article Summary:Thornton, K., (2002), Electrophysiology (QEEG) correlates of effective reading memory:Towards a generator/activation theory of the mind. J.",Use when separating source-level or ICA-style artifact reasoning from brain-based findings.,Use for artifact-reduction guidance when AI or staff need literature support for rejecting contaminated segments.
qeeg-course-research-library,paper-1146ccf17729,Clinical Research,research_pdf,2002,psychopharmacology | artifact | connectivity | dementia | reading | reporting,extracted,"Clinical Research Effects of Gabapentin and Carbamazepine on the EEG and Cognition in Healthy Volunteers *Martin C. Salinsky, *Lawrence M.","Use when beta excess, slowing, or altered arousal may be medication- or stimulant-related rather than intrinsic dysfunction.","Use for medication and substance-confound explanations in analyzer, raw-review, and report narratives."
qeeg-course-research-library,paper-57f26368a192,Journal of Neurotherapy: Investigations in,research_pdf,2002,psychopharmacology | artifact | connectivity | adhd | reading | neurofeedback | reporting,extracted,"Journal of Neurotherapy: Investigations in Neuromodulation, Neurofeedback and Applied Neuroscience ADHD and Stuttering: Similar EEG Profiles Suggest Neurotherapy as an Adjunct to Traditional Speech Therapies Brenda Ratcliff-Baird PhD a b a Hollins Communications Research Institute , Roanoke, VA b Virginia Polytechnic Institute and State University , Blacksburg, VA Published online: 08 Sep 2008. PLEASE SCROLL DOWN FOR ARTICLE THIS OPEN-ACCESS CONTENT MADE POSSIBLE BY THESE GENEROUS SPONSORS To cite this article: Brenda Ratcliff-Baird PhD (2001) ADHD and Stuttering: Similar EEG Profiles Suggest Neurotherapy as an Adjunct to Traditional Speech Therapies, ...","Use when beta excess, slowing, or altered arousal may be medication- or stimulant-related rather than intrinsic dysfunction.","Use for medication and substance-confound explanations in analyzer, raw-review, and report narratives."
qeeg-course-research-library,paper-15b99da263da,"Journal of Neurotherapy: Investigations in Neuromodulation,",research_pdf,2002,psychopharmacology | artifact | connectivity | adhd | reading | neurofeedback | reporting,extracted,"Journal of Neurotherapy: Investigations in Neuromodulation, Neurofeedback and Applied Neuroscience Electrophysiological (QEEG) Correlates of Effective Reading: Towards a Generator/Activation Theory of the Mind Kirtley E. Thornton PhD a b a mental health clinic , New Jersey b QEEG technology Published online: 08 Sep 2008.","Use when beta excess, slowing, or altered arousal may be medication- or stimulant-related rather than intrinsic dysfunction.","Use for medication and substance-confound explanations in analyzer, raw-review, and report narratives."
qeeg-course-research-library,paper-9737af9f9fb6,1997;49;277Neurology,research_pdf,1997,psychopharmacology | artifact | connectivity | adhd | dementia | reading | reporting,extracted,"1997;49;277Neurology Marc Nuwer American Clinical Neurophysiology Society* mapping: Report of the American Academy of Neurology and the Assessment of digital EEG, quantitative EEG, and EEG brain January 24, 2011This information is current as of http://www.neurology.org/content/49/1/277.full.html the World Wide Web at: The online version of this article, along with updated information and services, is located on reserved. Print ISSN: 0028-3878.","Use when beta excess, slowing, or altered arousal may be medication- or stimulant-related rather than intrinsic dysfunction.","Use for medication and substance-confound explanations in analyzer, raw-review, and report narratives."
qeeg-course-research-library,paper-114ec52a06d3,"Article Summary:Nuwer, M., (1997) Assessment of digital EEG, quantitative EEG and EEG brain mapping.Neurology:49. 277-292",article_summary,1997,psychopharmacology | artifact | reporting,extracted,"Article Summary:Nuwer, M., (1997) Assessment of digital EEG, quantitative EEG and EEG brain mapping.Neurology:49. 277-292 This assessment aims to help clinicians by providing expert review of the current clinicalusefulness of digital EEG, quantitative EEG, and EEG brain mapping (Nuwer, 1997, 277).","Use when beta excess, slowing, or altered arousal may be medication- or stimulant-related rather than intrinsic dysfunction.","Use for medication and substance-confound explanations in analyzer, raw-review, and report narratives."
qeeg-course-research-library,paper-86f09372acc4,INSTRUCTIONS:,reference_sheet,,artifact,extracted,"INSTRUCTIONS: The purpose of this questionnaire is to identify difficulties that you may be experiencing. Please answer every question, do not skip any questions.",Use when separating source-level or ICA-style artifact reasoning from brain-based findings.,Use for artifact-reduction guidance when AI or staff need literature support for rejecting contaminated segments.
